Trig Name,STATION NAME,New Name,EASTING,NORTHING,HEIGHT,ORDER,TYPE OF MARK,SECONDARY COMPUTING BLOCK,Computing Date,Maintained,CLASS OF LEVELLING,Date of Levelling,LEVELLING DATUM,DESTROYED MARK INDICATOR,COMMENTS
Abbey Road Methodist Ch Sp,SD47/INT18,SD47I018,320418.88,470242.29,0,4,SPIRE,SD47,01/06/1953,01/11/1976,0,,,0,
Abbey Works,SN80/T69,SN80T069,277208.72,186075.42,0,4,BOLT,SN80,01/06/1950,01/09/1962,0,,,0,
Abbeydale Hall,SK39/T26,SK39T026,432056.8,380976.14,0,3,BOLT,SK39,01/06/1948,,0,,,1,
Abbeydale Hall,SK39/T26,SK39T026,432055.96,380975.78,0,3,CENTRE,SK39,01/06/1948,01/06/1985,0,,,0,
Abbeydale Hall,SK39/T26,SK39T026,432056.8,380976.14,0,3,DISC,SK39,01/06/1988,01/06/1985,0,,,0,
Abbeyhill Garage Sp,NT48/INT46,NT48I046,324002.22,672352.44,0,4,SPIRE,EDIN,01/06/1943,,0,,,0,
Abbots Bromley Ch Twr,SK22/T44,SK22T044,407923.51,324561.02,0,4,BOLT,SK22,01/06/1953,01/11/1960,0,,,0,
Abbots Bromley Ch Twr,SK22/T44,SK22T044,407924.33,324561.86,0,4,FLAGSTAFF,SK22,01/06/1953,01/11/1960,0,,,0,
Abbots Bromley Ch Twr,SK22/T44,SK22T044,407920.65,324560.12,0,4,VANE,SK22,01/06/1953,01/11/1960,0,,,0,
Abbots Cliff,TR26/T192,TR26T192,629090.7,139212.75,0,3,BOLT,TR26,01/06/1987,01/06/1987,0,,,0,X-cut on iron bolt
Abbots Langley Ch Twr,SP91/T1,SP91T001,509465.87,202186.45,0,3,BOLT,SP91,01/06/1948,,0,,,1,Dest 07/75
Abbots Langley Ch Twr,SP91/T1,SP91T001,509463.79,202182.39,0,3,FLAGSTAFF,SP91,01/06/1960,,0,,,1,Dest 07/75
Abbots Leigh Ch Twr,ST57/T40,ST57T040,354430.89,174013.83,0,3,BOLT,ST57,01/06/1944,01/01/1980,0,,,0,
Abbots Leigh Ch Twr,ST57/T40,ST57T040,354430.96,174014.9,0,3,CENTRE,ST57,01/06/1944,01/01/1980,0,,,0,
