Trig Name,STATION NAME,New Name,EASTING,NORTHING,HEIGHT,ORDER,TYPE OF MARK,SECONDARY COMPUTING BLOCK,Computing Date,Maintained,CLASS OF LEVELLING,Date of Levelling,LEVELLING DATUM,DESTROYED MARK INDICATOR,COMMENTS
Civic Hall Orpington,TQ47/T541,TQ47T541,545373.42,165880.34,0,4,CENTRE,TQ47,01/06/1957,01/11/1982,0,,,0,
Civic Hall Orpington,TQ47/T541,TQ47T541,545375.55,165897.24,0,4,RIVET,TQ47,01/06/1957,,0,,,1,Dest 09/82
Civil Aviation Radio Station,NS04/T20,NS04T020,176224.38,614277.28,218.236,3,RIVET,NS04,01/06/1956,01/09/1978,2,01/06/1956,N,0,HT TO RIVET
Clach Bheinn,NS29/T22,NS29T022,221315.71,695161.27,437.692,3,PILLAR,NS29,01/06/1957,01/05/1980,2,01/06/1956,N,0,
Clach Mackenny,NS29/15,NS29S015,223954.726,683571.65,202.692,2,PILLAR,NS29,01/06/1952,01/06/1980,2,01/06/1952,N,0,
Clachan Hill,NS29/T23,NS29T023,218414.09,715323.91,658.368,3,PILLAR,NS29,01/06/1957,01/06/1980,2,01/06/1956,N,0,
Clachan Mor,NM52/H204,NM52H204,98072.38,748295.56,0,4,BOLT,NM52,01/06/1960,,0,,,0,
Clachnaben,NO89/9,NO89S009,361404.181,786547.843,579.424,2,PILLAR,NO89,01/06/1950,01/07/1973,2,01/06/1950,N,0,
Clack Hill,SP69/T58,SP69T058,475146.91,286704.35,131.49,4,PILLAR,SP69,01/06/1949,01/05/1962,1,01/11/1962,N,0,
Clackmannan Ch Twr,NS77/T72,NS77T072,290964.57,691836.41,0,3,BOLT,NS77,01/06/1989,01/09/1971,0,,,0,
Clackmannan Ch Twr,NS77/T72,NS77T072,290964.7,691836.48,0,3,BOLT,NS77,01/06/1947,01/09/1971,0,,,1,Revalued 1989
Clackmannan Ch Twr,NS77/T72,NS77T072,290964.09,691836.35,0,3,CENTRE,NS77,01/06/1989,01/09/1971,0,,,0,
Clackmannan Ch Twr,NS77/T72,NS77T072,290964.22,691836.42,0,3,CENTRE,NS77,01/06/1947,01/09/1971,0,,,1,Revalued 1989
Clacton Wtr Twr,TM23/4,TM23S004,617180.644,214955.081,0,2,BOLT,TM23,01/06/1948,,0,,,1,Dest 11/58
Claddach,NG24/T9,NG24T009,81590.88,862291.22,13.819,3,PILLAR,NG24,01/06/1957,01/05/1986,1,01/01/1977,S,0,
Claigeann Mor,NG24/T38,NG24T038,8710.27,898970.96,286.512,3,BOLT,NG24,01/06/1957,,2,01/06/1957,A,0,HT TO BOLT IN ROCK
Claines,SO96/T9,SO96T009,385101.04,259147.77,51.218,3,PILLAR,SO96,01/06/1948,01/05/1983,1,01/07/1959,N,0,
Claise Moire,NG24/H179,NG24H179,168505.26,852446.82,0,4,BOLT,NG24,01/06/1959,,0,,,0,
Clammer Hill,TQ13/T8,TQ13T008,492182.2,134077.44,149.693,3,PILLAR,TQ13,01/06/1952,01/10/1994,1,01/06/1975,N,0,
Clan Park,SJ90/T197,SJ90T197,383657.3,292745.4,0,4,BLOCK,SJ90,01/06/1957,01/10/1970,0,,,0,
Clapham Common Ch Sp,TQ47/INT60,TQ47I060,529500.06,175266.84,0,3,SPIRE,TQ47,01/06/1945,01/04/1981,0,,,0,
Clapham Road Resr,TL05/4,TL05S004,504431.585,251571.521,76.934,2,PILLAR,TL05,01/06/1955,01/06/1975,1,01/09/1959,N,0,
Clapton,SO92/20,SO92S020,416042.845,217853.556,220.199,2,PILLAR,SO92,01/06/1949,01/06/1984,1,01/06/1953,N,0,
Clare Hill,SU59/T9,SU59T009,467211.01,197726.09,121.179,3,PILLAR,SU59,01/06/1951,01/05/1972,1,01/06/1971,N,0,
Claremont,TQ47/T458,TQ47T458,513437.98,163342.99,0,4,BOLT,TQ47,01/06/1953,,0,,,1,Dest 1981
Claremont 1981,TQ47/T596,TQ47T596,513436.24,163337.91,0,4,BOLT,TQ47,01/06/1981,,0,,,0,
Claremont 1981,TQ47/T596,TQ47T596,513429.27,163327.4,0,4,VANE,TQ47,01/06/1981,,0,,,0,Belfry vane
Claremont Ch Sp,NT48/INT45,NT48I045,327242.54,675703.02,0,3,SPIRE,NT48,01/06/1943,01/08/1984,0,,,0,
Clarence Mills (1946),TA12/T21,TA12T021,510400.49,428939.23,0,3,BOLT,TA12,01/06/1946,01/02/1988,0,,,0,
Clarence Mills Flagstaff,TA12/T21,TA12T021,510379.35,428945.33,0,3,FLAGSTAFF,TA12,01/06/1978,01/02/1988,0,,,0,
Clarence Mills Twr,TA12/6,TA12S006,510377.698,428947.606,0,2,BOLT,TA12,01/06/1939,,0,,,1,Dest
Clarence Mills Twr,TA12/6,TA12S006,510379.09,428947.6,0,3,CENTRE,TA12,01/06/1939,,0,,,1,Dest
Clarendon School,SP91/T68,SP91T068,511454.54,192739.79,0,4,BOLT,SP91,01/06/1954,,0,,,1,Dest 06/83
Clarilaw,NT72/T18,NT72T018,356134.2,627367.99,152.162,3,PILLAR,NT72,01/06/1957,01/03/1986,1,01/03/1956,N,0,
Clark Meml Sp Largs,NS04/INT2,NS04I002,220173.73,659293.95,0,3,SPIRE,NS04,01/06/1956,01/08/1978,0,,,0,
Clarkes Factory,TG12/T103,TG12T103,622750.47,309561.58,0,4,BOLT,TG12,01/06/1951,01/07/1981,0,,,1,Destroyed 02/94
Clarkes Hill Resr,SD80/9,SD80S009,378802.4,405624.85,0,3,MAST,SD80,01/06/1984,01/06/1984,0,,,0,Radio mast
Clarkes Hill Resr,SD80/9,SD80S009,378792.12,405613.398,0,2,PILLAR,SD80,01/06/1945,01/09/1979,0,,,0,
Clarks Chy,ST53/INT6,ST53I006,348372.52,136813.62,0,3,CHIMNEY,ST53,01/06/1952,01/12/1978,0,,,0,
Clarks Green Farm,TQ53/T11,TQ53T011,517631.02,139915.55,107.076,3,PILLAR,TQ53,01/06/1949,01/08/1976,1,01/06/1972,N,0,
Clarks Hard,TL81/T99,TL81T099,600141.76,194705.84,0,4,BLOCK,TL81,01/06/1952,,0,,,1,Dest 02/57
Clash Na Bearnaich,NG24/T39,NG24T039,9578.62,898785.74,221.589,3,BLOCK,NG24,01/06/1957,,2,01/06/1957,A,0,HT TO BOLT IN BLOCK
Clashmore Radio Station,NC20/INT10,NC20I010,204625.45,930698.31,0,4,MAST,NC20,01/06/1972,,0,,,0,
Clasmach Hill,NJ45/3,NJ45S003,349791.742,838503.753,375.208,2,PILLAR,NJ45,01/06/1953,01/08/1981,2,01/06/1953,N,0,
Clatterbridge Hospl Wtr Twr,SD30/T149,SD30T149,331799.5,381966.77,0,4,BOLT,SD30,01/06/1950,,0,,,1,Dest 07/69
Clatto Hill,NT48/12,NT48S012,335570.731,706517.748,248.494,2,PILLAR,NT48,01/06/1943,01/08/1985,1,01/06/1968,N,0,
Clauchland,NS04/T25,NS04T025,204659.83,633836.62,163.848,3,PILLAR,NS04,01/06/1956,01/05/1978,1,01/04/1956,N,0,
Claverhouse,TR26/T158,TR26T158,620056.88,166195.8,0,4,BURIED BLK,TR26,01/06/1955,,0,,,0,
Clavering,TL74/T21,TL74T021,548978.66,232036.63,118.948,3,PILLAR,TL74,01/06/1948,,1,01/06/1968,N,1,Recomputed 11/86
Clavering,TL74/T21,TL74T021,548978.73,232036.56,118.948,3,PILLAR,TL74,01/11/1986,01/07/1975,1,01/06/1968,N,0,
Claverley Ch Twr Vane,SJ90/INT74,SJ90I074,379262.45,293417.88,0,4,VANE,SJ90,01/06/1957,01/10/1970,0,,,0,
Clawdd-Trawscae,SO11/T77,SO11T077,311731.36,200037.3,0,4,BURIED BLK,SO11,01/06/1975,01/10/1960,0,,,0,
Clawdd-Trawsoae,SO11/T77,SO11T077,311731.31,200037.59,0,4,BURIED BLK,SO11,01/06/1953,,0,,,1,Refixed 1975
Clay Close,SP42/T73,SP42T073,457596.18,205463.74,0,3,BURIED BLK,SP42,01/06/1952,01/03/1972,0,,,0,
Clay Hill,SU77/T106,SU77T106,448625.69,167995.41,0,3,BLOCK,SU77,01/06/1951,,0,,,1,Dest 04/63
Clay Hill,TL51/T3,TL51T003,540051.98,207667.42,54.614,3,PILLAR,TL51,01/06/1948,01/07/1975,1,01/06/1960,N,0,
Clay Hill,TQ53/T12,TQ53T012,544748.35,114184.9,31.281,3,PILLAR,TQ53,01/06/1949,01/11/1978,1,01/06/1968,N,0,
Clay Hills,TM47/T34,TM47T034,641565.48,264277.18,24.908,3,PILLAR,TM47,01/06/1960,01/07/1976,1,01/06/1968,N,0,
Clay Hills Wtr Tank,TM47/T3,TM47T003,641332.17,264340.5,0,3,BOLT,TM47,01/06/1953,,0,,,1,Dest 09/86
Clay Hills Wtr Tank,TM47/T3,TM47T003,641332.17,264340.5,0,3,CENTRE,TM47,01/06/1953,,0,,,1,Dest 09/86
Clay Hole,TF22/3,TF22S003,539529.372,339274.279,6.336,2,PILLAR,TF22,01/06/1961,01/08/1979,1,01/06/1965,N,0,
Clay Lane,TQ08/DM/T189,TQ08T189,519327.22,194026.54,0,4,BLOCK,TQ08,01/06/1959,,0,,,1,Dest 06/83
Clay Lane Resr,SE02/T7,SE02T007,386114.38,413762.29,189.609,3,PILLAR,SE02,01/06/1949,01/10/1979,1,01/09/1956,N,0,
Clay Lane Wtr Twr,TL08/T1,TL08T001,522330.2,278272.36,0,3,BOLT,TL08,01/06/1954,01/09/1979,0,,,0,
Clay Lane Wtr Twr,TL08/T1,TL08T001,522328.88,278272.39,0,3,CENTRE,TL08,01/06/1954,01/09/1979,0,,,0,
Clay Pits,TQ53/T13,TQ53T013,545841.85,146392.15,0,3,BLOCK,TQ53,01/06/1949,01/04/1982,0,,,0,Replaces pillar 06/86
Clay Pits,TQ53/T13,TQ53T013,545841.85,146392.15,52.026,3,PILLAR,TQ53,01/06/1949,,1,01/08/1951,N,1,Replaced by block 06/86
Claybury Hall,TQ47/T273,TQ47T273,542905.65,191325.8,0,3,BOLT,TQ47,01/06/1945,,0,,,1,Dest 04/70
Claybury Mental Hospl Wtr Twr,TQ47/INT61,TQ47I061,543364.59,191383.08,0,3,TOWER,TQ47,01/06/1945,01/06/1980,0,,,0,
Claycross Ch Sp,SK56/INT1,SK56I001,439121.98,363296.19,0,3,SPIRE,SK56,01/06/1938,01/05/1983,0,,,0,
Clayhall Lane,TQ47/T557,TQ47T557,523752.47,148399.38,63.139,4,BLOCK,TQ47,01/06/1958,,1,01/04/1963,N,0,Ht to bolt in block
Clayhill Ch Sp,TL51/INT8,TL51I008,532556.83,198268.89,0,4,SPIRE,TL51,01/06/1960,01/12/1984,0,,,0,
Clayhill Farm,TQ08/T157,TQ08T157,497839.56,175060.52,0,4,BLOCK,TQ08,01/06/1952,,0,,,1,Dest 06/59
Claypit Hill,SU15/57,SU15S057,399682.067,142452.636,178.582,2,PILLAR,SU15,01/06/1938,01/02/1967,1,01/04/1958,N,0,
Claypole Ch Sp,TF05/INT9,TF05I009,484542.96,348998.72,0,3,SPIRE,TF05,01/06/1950,01/09/1980,0,,,0,
Clays End,ST86/T65,ST86T065,370820.82,163772.74,0,4,BURIED BLK,ST86,01/06/1951,,0,,,0,
Clays Lane,TL51/T38,TL51T038,543322.7,197965.07,0,4,BLOCK,TL51,01/06/1960,,0,,,1,Dest 10/79
Clayton Ch Twr,SE22/T78,SE22T078,411859.35,431950.85,0,4,BOLT,SE22,01/06/1949,,0,,,1,Dest 04/72
Clayton Ch Twr,SE22/T78,SE22T078,411856.66,431951.75,0,4,CENTRE,SE22,01/06/1949,01/04/1972,0,,,0,NOT REFIXED NCE 89 ADJ
Clayton Ch Twr,SE22/T78,SE22T078,411856.33,431952.79,0,4,FLAGSTAFF,SE22,01/06/1949,01/04/1972,0,,,1,
Clayton Ch Twr,SE22/T78,SE22T078,411856.32,431952.76,0,3,VANE,A001,01/06/1989,01/06/1989,0,,,0,
Clayton Le Moors Ch Twr,SD74/T75,SD74T075,374497.19,430901.76,0,4,BOLT,SD74,01/06/1953,,0,,,0,
Clayton Le Moors Ch Twr,SD74/T75,SD74T075,374496.82,430902.08,0,4,FLAGSTAFF,SD74,01/03/1987,,0,,,0,
Cleadon Twr,NZ29/34,NZ29S034,438712.045,563580.787,0,2,BOLT,NZ29,01/06/1984,,0,,,0,
Cleadon Twr,NZ29/34,NZ29S034,438711.936,563580.669,0,2,BOLT,NZ29,01/06/1947,,0,,,1,Recomputed 1984
Clearbury Ring,SU31/T51,SU31T051,415240.82,124525.71,142.311,3,PILLAR,SU31,01/06/1942,01/12/1977,1,01/06/1952,N,0,
Cleare Croft Wood,TQ08/DM/T271,TQ08T271,496013.08,192525.8,0,4,BURIED BLK,TQ08,01/06/1962,,0,,,0,
Clearmount,TQ08/T219,TQ08T219,507455.98,159579.91,0,4,BLOCK,TQ08,01/06/1959,01/07/1979,0,,,0,
Cleave,SS30/T76,SS30T076,247863.2,118685.84,0,3,BURIED BLK,SS30,01/06/1950,01/05/1974,0,,,0,
Cleave Camp,SS30/T124,SS30T124,220836.3,112437.6,133.002,3,PILLAR,SS30,01/06/1949,01/05/1974,1,01/05/1951,N,0,
Cleave Camp Wtr Tank (1954),SS30/T136,SS30T136,220813.8,112444.1,0,4,RIVET,SS30,01/06/1954,,0,,,1,Dest 12/78
Cleave Camp Wtr Twr,SS30/7,SS30S007,220801,112448.02,0,2,BOLT,SS30,01/06/1949,,0,,,1,Dest 10/54
Cleave Camp Wtr Twr,SS30/7,SS30S007,220800.4,112448.15,0,3,CENTRE,SS30,01/06/1950,,0,,,1,Dest 10/54
Cleave Control Twr,SS30/T129,SS30T129,220088.59,112542.39,0,4,PUNCH MARK,SS30,01/06/1953,,0,,,1,On iron bolt. Dest 12/78
Cleckheaton Town Hall Cupola,SE22/INT65,SE22I065,419117.78,425413.85,0,4,CUPOLA,SE22,01/06/1952,01/05/1972,0,,,0,
Clee Field Farm,TA30/T33,TA30T033,529678.93,406856.36,0,3,BLOCK,TA30,01/06/1950,,0,,,1,Dest 05/74
Cleethorpes Gasholder,TA30/T12,TA30T012,530248.44,409406.82,0,3,BOLT,TA30,01/06/1950,,0,,,1,Dest 12/72
Cleethorpes Trinity Meth Ch Sp,TA30/INT3,TA30I003,530545.85,408697.17,0,3,SPIRE,TA30,01/06/1950,,0,,,1,Dest 1974
Cleethorpes Wtr Twr,TA30/INT11,TA30I011,530150.67,409472.4,0,3,TOWER,TA30,01/06/1950,01/07/1987,0,,,1,Destroyed 08/89
Cleeve Common Mast North,SO92/INT57,SO92I057,399329.9,224876.81,0,4,MAST,SO92,01/06/1981,,0,,,0,
Cleeve Common Mast South,SO92/INT58,SO92I058,399354.86,224829.67,0,4,MAST,SO92,01/06/1981,,0,,,1,Dest 11/84
Cleeve Hill,PP69,PP069,399694.076,224592.756,330.292,1,PILLAR,FIG1,01/06/1936,01/10/1992,1,01/06/1993,N,0,
Clegg,SE02/T67,SE02T067,392850.7,414683.53,178.119,4,BLOCK,SE02,01/06/1949,,1,01/08/1962,N,1,Dest 11/87
Cleiseval,NG24/T31,NG24T031,107910.58,908337.64,511.149,3,PILLAR,NG24,01/06/1958,01/05/1986,2,01/06/1958,S,0,
Cleit Ch Belfry,NR55/INTH115,NR55I115,168130.85,641793.15,0,4,BELFRY,NR55,01/06/1957,,0,,,0,
Clements Farm Twr,TL32/T33,TL32T033,532481.99,209888.51,0,4,BOLT,TL32,01/06/1952,,0,,,0,
Clements Farm Twr,TL32/T33,TL32T033,532483.43,209891.02,0,4,FLAGSTAFF,TL32,01/06/1952,,0,,,0,
Clent Hill,SJ90/T27,SJ90T027,393370.56,280334.45,304.028,4,PILLAR,SJ90,01/06/1949,01/07/1982,1,01/04/1962,N,0,
Cleppa Park,ST57/T156,ST57T156,327919.01,185153.05,0,4,BURIED BLK,ST57,01/06/1951,,0,,,1,Dest 05/78
Clermiston Twr Fs,NT18/INT19,NT18I019,320645.27,673841.25,0,4,FLAGSTAFF,EDIN,01/06/1943,,0,,,1,Destroyed 01/89
Clermiston Twr Turret,NT18/7,NT18S007,320646.451,673840.896,0,2,BOLT,NT48,01/06/1943,,0,,,1,Changed to rivet 9/65
Clermiston Twr Turret,NT18/7,NT18S007,320646.46,673841.3,0,3,CENTRE,NT48,01/06/1943,,0,,,0,
Clermiston Twr Turret,NT18/7,NT18S007,320646.442,673840.769,0,2,DISC,NT48,01/06/1983,01/09/1983,0,,,0,
Clermiston Twr Turret,NT18/7,NT18S007,320646.41,673840.12,0,3,L'NING C,NT48,01/06/1983,01/09/1983,0,,,0,
Clermiston Twr Turret,NT18/7,NT18S007,320646.451,673840.896,0,2,RIVET,NT48,01/06/1943,,0,,,1,Dest 1983
Clervaux Castle,NZ42/T11,NZ42T011,427066.96,508960.19,0,3,BOLT,NZ42,01/06/1948,,0,,,1,Dest 11/52
Clett,HU46/DM/16,HU46S016DIS,454998.195,1161433.449,119.786,2,PILLAR,HU46,01/06/1961,01/07/1980,2,01/06/1961,L,0,
Clett Nisabost,NG24/T10,NG24T010,104248.79,895967,158.23,3,PILLAR,NG24,01/06/1958,01/05/1986,1,01/05/1962,S,0,
Clettack Skerry,HY52/T50,HY52T050,348562.89,977537.91,0,3,BOLT,HY52,01/06/1961,01/05/1984,0,,,0,
Clevage Hill,NO02/T20,NO02T020,305375.43,713523.58,298.399,3,PILLAR,NO02,01/06/1951,01/11/1986,2,01/06/1951,N,0,
Cleve Farm,TR26/T91,TR26T091,629289.25,166340.39,0,4,BURIED BLK,TR26,01/06/1951,,0,,,0,
Clevedon Transmitting Station,ST57/T139,ST57T139,339953.75,169689.16,0,4,BOLT,ST57,01/06/1952,,0,,,1,Dest 08/75
Cleveleys Clock Twr,SD47/INT47,SD47I047,331195.09,442296.43,0,4,TOWER,SD47,01/06/1957,,0,,,1,Dest 10/83
Cleverton,SU19/T49,SU19T049,397113.88,184974.92,99.998,3,PILLAR,SU19,01/06/1951,,1,01/08/1957,N,0,
Clewley,SJ90/T93,SJ90T093,390504.59,303855.14,0,4,BURIED BLK,SJ90,01/06/1951,,0,,,1,Dest 11/78
Cleworth Hall Colly Winding Gear,SD80/T21,SD80T021,370104.16,402295.63,0,3,BOLT,SD80,01/06/1945,,0,,,1,Dest 05/65
Clews Mount,NS44/T125,NS44T125,252019.15,624535.97,0,4,BURIED BLK,NS44,01/06/1957,01/09/1976,0,,,0,
Cley Hill,ST86/T14,ST86T014,383791.27,144989.47,239.325,3,PILLAR,ST86,01/06/1944,01/10/1987,1,01/07/1957,N,0,
Clibberswick,HU46/T55,HU46T055,466258.43,1212724.45,0,3,OLD TRIG,HU46,01/06/1961,01/05/1969,0,,,0,
Clibberswick,HU46/T55,HU46T055,466257.64,1212715.27,160.324,3,PILLAR,HU46,01/06/1961,01/05/1980,2,01/06/1961,L,0,
Clickett Hill,TM23/T121,TM23T121,628356.16,235388.46,0,4,BURIED BLK,TM23,01/06/1949,01/08/1960,0,,,0,
Cliddesden,SU77/T288,SU77T288,463655.4,149455.77,0,4,BURIED BLK,SU77,01/06/1963,,0,,,1,Refixed 1987
Cliddesden,SU77/T288,SU77T288,463655.45,149455.72,0,3,BURIED BLK,SU77,01/06/1987,01/04/1978,0,,,0,
Cliff,SK98/T76,SK98T076,494411.15,395819.3,0,4,BURIED BLK,SK98,01/06/1960,01/10/1962,0,,,0,
Cliff Bank,SJ44/T148,SJ44T148,346758.46,353562.01,0,4,BOLT,SJ44,01/06/1958,01/11/1961,0,,,0,Bolt in rock
Cliff Edge,TR26/T169,TR26T169,612854.28,167340.46,14.008,4,BLOCK,TR26,01/06/1955,21/03/2002,1,01/06/1976,N,0,Ht to bolt in block
Cliff End,TQ00/T14,TQ00T014,552562.84,97748.82,96.996,3,PILLAR,TQ00,01/06/1947,01/04/1982,1,01/07/1969,N,0,
Cliff Farm,SK08/T29,SK08T029,393683.88,374124.42,0,4,BLOCK,SK08,01/06/1959,01/11/1960,0,,,0,
Cliff Farm,SK10/T84,SK10T084,421011.04,297517.9,0,4,BURIED BLK,SK10,01/06/1952,01/05/1961,0,,,0,
Cliff Farm,TA43/T39,TA43T039,538550.15,422502.35,29.675,3,BLOCK,TA43,01/06/1939,,1,01/06/1947,N,1,Dest 04/63
Cliff Hill,NH16/T9,NH16T009,185015.98,880026.27,229.096,3,PILLAR,NH16,01/06/1958,01/05/1980,1,01/07/1957,N,0,
Cliff Hill,SE97/14,SE97S014,471837.732,479482.851,46.329,2,PILLAR,SE97,01/06/1954,01/07/1984,1,01/03/1968,N,0,
Cliff Hotel,TM23/T66,TM23T066,630613.4,234563.45,0,4,BOLT,TM23,01/06/1948,01/10/1980,0,,,0,
Cliff Hotel,TM23/T66,TM23T066,630616.17,234555.96,0,4,FLAGSTAFF,TM23,01/06/1948,,0,,,1,Dest 02/71
Cliff Park,ST11/T122,ST11T122,292782.6,72925.47,0,4,BOLT,ST11,01/06/1949,,0,,,1,Dest 10/76
Cliff Road,SX76/T43,SX76T043,250539.35,48995.8,97.206,3,PILLAR,SX76,01/06/1947,01/04/1974,1,01/06/1963,N,0,
Cliff Top,SK34/T4,SK34T004,413630.83,348153.13,316.397,3,PILLAR,SK26,01/06/1948,01/07/1983,1,01/06/1970,N,0,
Cliffe Hill,TQ00/6,TQ00S006,543401.5,110721.196,164.314,2,PILLAR,TQ00,01/06/1947,01/11/1987,1,01/06/1967,N,0,
Cliffhayne Farm,ST11/10,ST11S010,324540.881,111213.562,258.351,2,PILLAR,ST11,01/06/1946,01/09/1978,1,01/10/1952,N,0,BASE EXPOSED
Clifford Mill Chy,SP74/INT16,SP74I016,480419.67,260615.22,0,4,CHIMNEY,SP74,01/06/1956,,0,,,1,Dest 7/84
Cliffs Hotel Fs,SU31/INT136,SU31I136,414257.12,91414.74,0,4,FLAGSTAFF,BMTH,01/06/1942,,0,,,1,Dest 08/54
Clifton,/PP53,PPP53,451839.88,395951.62,0,3,MAST,A001,01/06/1988,01/06/1988,0,,,0,NCE 88 ADJ
Clifton,/PP53,PPP53,451935.12,395919.79,0,3,MAST,SE73,01/06/1980,,0,,,1,RADIO MAST CENTRE
Clifton,/PP53,PPP53,451891.59,395940.07,0,3,OLD TRIG,FIG2,01/06/1936,,0,,,1,Dest 6/85
Clifton,/PP53,PPP53,451893.351,395942.478,142.503,12,PILLAR,A001,01/06/1988,01/09/1985,1,01/12/1963,N,0,GPS HEIGHT 142.3 NCE 88
Clifton,PP53,PP053,451893.415,395942.307,142.503,1,PILLAR,FIG2,01/06/1936,,1,01/12/1963,N,1,
Clifton,ST53/T84,ST53T084,357099.93,114323.67,0,3,BLOCK,ST53,01/06/1952,01/05/1979,0,,,0,
Clifton Campville Ch Sp,SK22/INT4,SK22I004,425272.91,310779.28,0,3,SPIRE,SK22,01/06/1939,01/04/1978,0,,,0,
Clifton Ch Sp,SE22/INT66,SE22I066,416121.48,422827.28,0,3,SPIRE,A001,01/06/1989,01/06/1989,0,,,0,
Clifton Ch Sp,SE22/INT66,SE22I066,416121.5,422827.42,0,4,SPIRE,SE22,01/06/1952,01/05/1972,0,,,1,
Clifton Ch Sp,SE97/INT29,SE97I029,459552.69,452743.88,0,3,SPIRE,SE97,01/06/1954,,0,,,1,Recomputed 1986
Clifton Ch Sp,SE97/INT29,SE97I029,459552.72,452743.89,0,3,SPIRE,SE97,01/09/1986,,0,,,0,
Clifton Cinema,SK10/T66,SK10T066,405620.63,292923.11,0,3,BOLT,SK10,01/06/1944,01/05/1982,0,,,0,
Clifton Colly Shaft,SD74/T15,SD74T015,383287.67,433058.25,0,3,BOLT,SD74,01/06/1949,,0,,,1,Dest 09/55
Clifton Colly Winding Gear,SK73/T39,SK73T039,456512.06,337971.44,0,3,BOLT,SK73,01/06/1949,,0,,,1,Dest 12/69
Clifton Farm,SD74/T135,SD74T135,383080.93,433388.54,0,4,BLOCK,SD74,01/06/1955,,0,,,1,Dest 10/80
Clifton Hampden,SU59/T85,SU59T085,454140.14,195709.7,0,4,CENTRE,SU59,01/06/1960,,0,,,1,Centre of mounting on twr. Dest 11/77
Clifton Hill,TF05/T13,TF05T013,482270.27,369710.73,23.545,3,PILLAR,TF05,01/06/1950,01/10/1980,1,01/06/1966,N,0,
Clifton Observatory Twr Vane,ST57/INT31,ST57I031,356561.12,173262.87,0,4,VANE,ST57,01/06/1944,,0,,,0,
Clifton On Teme Ch Sp,SO96/INT6,SO96I006,371481.24,261613.29,0,3,SPIRE,SO96,01/06/1948,01/06/1983,0,,,0,
Clifton Suspension Br W Pier,ST57/T89,ST57T089,356380.74,173013.38,0,4,BOLT,ST57,01/06/1944,,0,,,0,
Clifton Tv Mast,SE44/INT43,SE44I043,419803.99,448502.59,0,3,MAST,A001,01/06/1987,01/06/1987,0,,,0,
Clifton-Upon-Dunsmore Ch Twr,SP69/T14,SP69T014,453114.43,276405.32,0,3,BOLT,SP69,01/06/1949,,0,,,1,Recomp 1986
Clifton-Upon-Dunsmore Ch Twr,SP69/T14,SP69T014,453114.36,276405.28,0,3,BOLT,SP69,01/05/1986,01/07/1978,0,,,0,
Clifton-Upon-Dunsmore Ch Twr,SP69/T14,SP69T014,453116.51,276403.18,0,3,CENTRE,SP69,01/06/1949,,0,,,1,Recomp 1986
Clifton-Upon-Dunsmore Ch Twr,SP69/T14,SP69T014,453116.44,276403.14,0,3,CENTRE,SP69,01/05/1986,01/07/1978,0,,,0,
Clifton-Upon-Dunsmore Ch Twr,SP69/T14,SP69T014,453116.51,276403.18,0,3,VANE,SP69,01/06/1949,,0,,,1,Recomp 1986
Clifton-Upon-Dunsmore Ch Twr,SP69/T14,SP69T014,453116.44,276403.14,0,3,VANE,SP69,01/05/1986,01/07/1978,0,,,0,
Climers Hill,SO96/T10,SO96T010,391993.86,257392.14,88.227,3,PILLAR,SO96,01/06/1948,01/06/1983,1,01/04/1961,N,0,
Climping,TQ00/T142,TQ00T142,500197.84,101913.44,0,4,BLOCK,TQ00,01/06/1949,,0,,,1,Dest 08/54
Clingoe,TM23/T124,TM23T124,602470.11,224432.34,0,4,BLOCK,TM23,01/06/1950,,0,,,1,Dest 12/59
Clinkingstane,NS77/T189,NS77T189,298816.1,669839.72,0,4,BURIED BLK,NS77,01/06/1949,01/09/1958,0,,,0,
Clinterty,NJ75/T19,NJ75T019,386860.81,865254.53,127.711,3,PILLAR,NJ75,01/06/1952,01/07/1987,2,01/06/1952,N,0,
Clints,NY11/T11,NY11T011,315927.93,535260.32,244.754,3,BURIED BLK,NY11,01/06/1952,01/03/1977,2,01/06/1952,N,0,Ht to bolt in block
Clipper Down,SP91/14,SP91S014,496524.094,215096.536,249.058,2,PILLAR,SP91,01/06/1948,01/04/1973,1,01/06/1958,N,0,
Clipston,SK73/T4,SK73T004,463048.62,334038.4,81.911,3,PILLAR,SK73,01/06/1949,01/05/1978,1,01/06/1966,N,0,
Clipstone Colly,SK56/15,SK56S015,459515.2,363296.51,0,4,BOLT,SK56,01/06/1955,,0,,,1,Revalued 1987
Clipstone Colly,SK56/15,SK56S015,459515.294,363296.637,0,2,BOLT,SK56,01/06/1938,,0,,,1,Revalued 1955
Clipstone Colly,SK56/15,SK56S015,459515.634,363296.762,138.899,2,BOLT,A001,01/09/1987,01/06/1983,2,01/06/1987,N,0,N CEN ENGLAND ADJUSTMENT
Clipstone Forestry Twr,SK56/T67,SK56T067,460401.49,362282.54,0,4,BLOCK,SK56,01/06/1955,,0,,,0,
Clipstone Forestry Twr,SK56/T67,SK56T067,460401.49,362282.54,0,4,CUT,SK56,01/06/1955,,0,,,0,CROSS CUT ON TWR
Clisham,PP472,PP472,115484.873,907304.028,799.49,1,PILLAR,FIG6,01/06/1951,01/11/1993,2,01/06/1955,S,0,
Cliston Lane,SS72/T16,SS72T016,262310.48,101251.09,184.09,3,PILLAR,SS72,01/06/1949,01/06/1976,1,01/06/1968,N,0,
